Time, nFrame,relativeTime,bodyIndex(str),bodyIndex,X,Y,Z,state
18_37_27_0343, 1,0,SpineBase,0,-0.015802,-0.297529,1.406755,2
18_37_27_0343, 1,0,SpineMid,1,-0.023725,0.024318,1.478529,2
18_37_27_0343, 1,0,Neck,2,-0.031016,0.328714,1.533488,2
18_37_27_0343, 1,0,Head,3,-0.066925,0.450108,1.545409,2
18_37_27_0343, 1,0,ShoulderLeft,4,-0.212405,0.180107,1.524957,2
18_37_27_0343, 1,0,ElbowLeft,5,-0.382063,0.083329,1.427636,2
18_37_27_0343, 1,0,WristLeft,6,-0.448387,0.263939,1.334809,2
18_37_27_0343, 1,0,HandLeft,7,-0.485630,0.304684,1.320366,2
18_37_27_0343, 1,0,ShoulderRight,8,0.149934,0.217347,1.435100,2
18_37_27_0343, 1,0,ElbowRight,9,0.173370,-0.062835,1.348176,1
18_37_27_0343, 1,0,WristRight,10,0.109847,0.213119,1.373696,1
18_37_27_0343, 1,0,HandRight,11,0.094722,0.294480,1.415180,1
18_37_27_0343, 1,0,HipLeft,12,-0.099314,-0.297738,1.390444,2
18_37_27_0343, 1,0,KneeLeft,13,-0.072496,-0.510873,1.077031,2
18_37_27_0343, 1,0,AnkleLeft,14,-0.233084,-0.784891,1.100168,1
18_37_27_0343, 1,0,FootLeft,15,-0.291592,-0.792677,0.977698,1
18_37_27_0343, 1,0,HipRight,16,0.068755,-0.281367,1.347681,2
18_37_27_0343, 1,0,KneeRight,17,0.052925,-0.527699,1.061495,2
18_37_27_0343, 1,0,AnkleRight,18,0.141445,-0.826101,1.114689,1
18_37_27_0343, 1,0,FootRight,19,0.129515,-0.698979,1.167926,1
18_37_27_0343, 1,0,SpineShoulder,20,-0.029277,0.254766,1.522217,2
18_37_27_0343, 1,0,HandTipLeft,21,-0.502807,0.337709,1.274643,2
18_37_27_0343, 1,0,ThumbLeft,22,-0.516275,0.277963,1.321767,2
18_37_27_0343, 1,0,HandTipRight,23,0.078706,0.354546,1.393666,2
18_37_27_0343, 1,0,ThumbRight,24,0.102375,0.292746,1.427572,2
18_37_27_0376, 2,34,SpineBase,0,-0.013575,-0.283815,1.368271,2
18_37_27_0376, 2,34,SpineMid,1,-0.023350,0.027627,1.469004,2
18_37_27_0376, 2,34,Neck,2,-0.031033,0.328700,1.533536,2
18_37_27_0376, 2,34,Head,3,-0.066909,0.450110,1.545510,2
18_37_27_0376, 2,34,ShoulderLeft,4,-0.211992,0.181605,1.525165,2
18_37_27_0376, 2,34,ElbowLeft,5,-0.371257,0.088213,1.432635,2
18_37_27_0376, 2,34,WristLeft,6,-0.445877,0.250632,1.338162,2
18_37_27_0376, 2,34,HandLeft,7,-0.497353,0.302229,1.313036,2
18_37_27_0376, 2,34,ShoulderRight,8,0.149911,0.217303,1.435108,2
18_37_27_0376, 2,34,ElbowRight,9,0.147690,-0.026609,1.329214,1
18_37_27_0376, 2,34,WristRight,10,0.099288,0.233179,1.368817,1
18_37_27_0376, 2,34,HandRight,11,0.086412,0.311762,1.412086,1
18_37_27_0376, 2,34,HipLeft,12,-0.097305,-0.281880,1.351299,2
18_37_27_0376, 2,34,KneeLeft,13,-0.073045,-0.540373,1.091591,2
18_37_27_0376, 2,34,AnkleLeft,14,-0.189791,-0.710090,1.310011,2
18_37_27_0376, 2,34,FootLeft,15,-0.266463,-0.756961,1.329945,1
18_37_27_0376, 2,34,HipRight,16,0.071110,-0.269992,1.309638,2
18_37_27_0376, 2,34,KneeRight,17,0.046253,-0.607519,1.052781,1
18_37_27_0376, 2,34,AnkleRight,18,0.184447,-0.657045,1.340403,1
18_37_27_0376, 2,34,FootRight,19,0.131596,-0.651988,1.203436,1
18_37_27_0376, 2,34,SpineShoulder,20,-0.029313,0.254892,1.521691,2
18_37_27_0376, 2,34,HandTipLeft,21,-0.515369,0.327944,1.267368,2
18_37_27_0376, 2,34,ThumbLeft,22,-0.528963,0.277131,1.312692,2
18_37_27_0376, 2,34,HandTipRight,23,0.074076,0.373125,1.389749,2
18_37_27_0376, 2,34,ThumbRight,24,0.102374,0.300185,1.426205,2
18_37_27_0410, 3,67,SpineBase,0,-0.019707,-0.298066,1.359089,2
18_37_27_0410, 3,67,SpineMid,1,-0.024560,0.025288,1.460585,2
18_37_27_0410, 3,67,Neck,2,-0.030516,0.329564,1.533158,2
18_37_27_0410, 3,67,Head,3,-0.070591,0.451390,1.546532,2
18_37_27_0410, 3,67,ShoulderLeft,4,-0.214912,0.181298,1.527670,2
18_37_27_0410, 3,67,ElbowLeft,5,-0.368871,0.089156,1.434357,2
18_37_27_0410, 3,67,WristLeft,6,-0.472720,0.263390,1.324303,2
18_37_27_0410, 3,67,HandLeft,7,-0.487691,0.277090,1.318980,2
18_37_27_0410, 3,67,ShoulderRight,8,0.147937,0.217015,1.434366,2
18_37_27_0410, 3,67,ElbowRight,9,0.148530,-0.024992,1.330771,1
18_37_27_0410, 3,67,WristRight,10,0.103739,0.229659,1.367495,1
18_37_27_0410, 3,67,HandRight,11,0.086203,0.254800,1.406708,1
18_37_27_0410, 3,67,HipLeft,12,-0.102125,-0.294682,1.348943,2
